Kod_PT,Bahagian_ID,Negeri_Rkod,keterangan,alamat1,alamat2,alamat3,alamat4,telefon,fax,email,data_mark,status
428399,4,28,PEJABAT PRD - PAHANG TIMUR,Tingkat 2, Blok A, Lot 7876,Jalan Haji Junid,09-5141914,09-5139593,,,1
428499,4,28,PEJABAT PRD - BERA,No. 17 & 19,Jalan Anggerik 1, Taman Anggerik,28300 Triang,09-2506952,09-2207480,,,1
428599,4,28,PEJABAT PRD - MARAN,,,26550 Maran,Pahang,09-4771352,09-4771939,,,1
428699,4,28,PEJABAT PRD - RAUB,No. 1,Jalan Cheroh,27500 Raub,Pahan g,09-3551077,09-3551666,,,1
428799,4,28,PEJABAT PRD - BENTONG,,Kg. Baru,28700 Bentong,Pahan g,09-2221095,09-2223260,,,1
428899,4,28,PEJABAT PRD - LIPIS,Bangunan RISDA,Jalan Bukit Residen,27200 Kuala Lipis,Pahang,09-3121396,09-3121259,,,1
429199,4,29,PEJABAT PRD - BESUT,Lot 766,Jalan Tembila, Kg.Raja,22200 Besut,Terengganu,09-6957105,,,1
429299,4,29,PEJABAT PRD - SETIU,,Bandar Permaisuri,22100 Setiu,Terengganu,09-6090081,09-6090082,,,1
429399,4,29,PEJABAT PRD - MARANG / KUALA TERENGGANU,,Bandar Marang,21600 Marang,Terengganu,09-6181611,09-6181612,,,1
429499,4,29,PEJABAT PRD - HULU TERENGGANU,,Jalan Masjid,21700 Kuala Berang Hulu Terengganu,Terengganu,09-6811133,09-6811258,,,1
429599,4,29,PEJABAT PRD - DUNGUN,,Jalan Mustaffa,23000 Dungun,Terengganu,09-8481215,09-8485309,,,1
429699,4,29,PEJABAT PRD- KEMAMAN,Lot P.T. 1292(P),Jalan Penghiburan,24000 Cukai, Kemaman,Terengganu,09-8591357,,,1
430299,4,30,PEJABAT PRJ - TANAH MERAH,,Jalan Pejabat,17500 Tanah Merah,Kelantan,09-9557362,09-9556006,,,1
430399,4,30,PEJABAT PRJ - KUALA KRAI,Km 1, Lebuhraya Kuala Krai/Gua Musang,Batu 2 Jalan Kuala Krai,18000 Kuala Krai,Kelantan,09-9666100,,,1
430499,4,30,PEJABAT PRJ - GUA MUSANG,18300 Gua Musang,Kelantan Darul Naim,,,099122124,099126581,risguamusang@risda.gov.my,,1
430599,4,30,PEJABAT PRJ - KELANTAN UTARA,Lot 196, Sekeyen 22,Batu 2 Jalan Kuala Krai,15050 Kota Bharu,Kelantan,09-74300061,,,1
430799,4,30,PEJABAT PRJ - MACHANG/ PASIR PUTEH,"JLN RISDA, ",MACHANG,18500,KELANTAN,099751241,099756241,rismachang@risda.gov.my,,1
430899,4,30,PEJABAT PRJ - JELI,"LOT1062,JLN PEKELILING","BANDAR BARU,JELI",17600,KELANTAN,09-9440006,09-9440005,,,1
440299,4,40,PEJABAT PRB - BETONG,"LOT NO 775, SARATOK TOWN","DISTRICT, JLN SARATOK",95400,"SARATOK, SARAWAK",083438143,083438146,prbbetong@risda.gov.my,,1
440399,4,40,PEJABAT PRB - SIBU,"CDT 247, N0 8, LORONG 3",JLN KG DATU,96000,"SIBU, SARAWAK",084344712,084322521,prbsibu@risda.gov.my,,1
440499,4,40,PEJABAT PRB - KOTA SAMARAHAN,"LOT 3803, DESA ILMU PHASE II",JLN DATUK MOHD MUSA,94300,"KOTA SAMARAHAN, SARAWAK",082662691,082662685,prbsamarahan@risda.gov.my,,1
440599,4,40,PEJABAT PRB - MIRI,"LOT 1405, TINGKAT 2, CENTRE POINT COMMERCIAL,","CENTRE PHASE II, JALAN KUBU,",98000,"MIRI, SARAWAK",085412412,085412411,prbmiri@risda.gov.my,,1
450299,4,50,PEJABAT PRD - KOTA KINABALU,"No 162,Blok s, Lorong Plaza Permai 1,","Taman Alamesra,Jalan Sulaiman,Peti Surat 17283",88400,Kota Kinabalu,088485523,088485526,prdkotakinabalu@risda.gov.my,,1
450399,4,50,PEJABAT PRD - KOTA BELUD,"Lot10,Blok B,",Kompleks Alappbana,89157,"Kota Belud,Sabah",088-972706,088-972709,prdkotabelud@risda.gov.my,,1
450499,4,50,PEJABAT PRD - KENINGAU,"Lot No 9,Suria Shoppong Centre",Jalan Masak,89000,"Keningau,Sabah",087338858,087338861,,,1
450599,4,50,PEJABAT PRD - TAWAU,"Lot 2,Blok E Bandar Mutiara",Jalan Balai Polis,91308,Semporna,089785213,089785214,,,0
450699,4,50,PEJABAT PRD - SANDAKAN,"Lot 36-GF,36-1F,Blok 3,",Prima Square KM4,90000,"Sandakan,Sabah",089216755,089216757,,,1
450799,4,50,PEJABAT PRD - BEAUFORT,"Lot 6, Cerah Comercial Centre,","Jalan Balai Papas,",89807,SABAH,087224335,087224337,,,1
623199,6,23,IKPK PDG RENGAS, PERAK,,,,,,,,1
625199,6,25,RISTEC NEGERI SEMBILAN,,,,,,,,,1
628199,6,28,IKPK KG.AWAH, PAHANG,KM 15 Jalan Maran,,28030 Temerloh,Pahang Darul M,09-2986480,,,1
630199,6,30,IKPK BUKIT SIREH,"Bukit Sireh, Kelantan",,,,099669970,,,,1
